axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
0.185,16.54,b1000,3.74,67.26,b1110,3.745,1360.61,b1110
0.1875,18.3,b1000,3.79,67.26,b1110,3.795,1375.97,b1110
0.19,18.64,b1000,3.84,67.23,b1110,3.845,1391.34,b1110
0.1925,18.89,b1000,3.89,67.23,b1110,3.895,1405.53,b1110
0.195,18.64,b1000,3.94,67.23,b1110,3.945,1419.73,b1110
0.1975,18.39,b1000,3.99,67.23,b1110,3.995,1433.94,b1110
0.2,18.22,b1000,4.04,67.2,b1110,4.045,1448.16,b1110
0.2025,17.63,b1000,4.09,67.2,b1110,4.095,1462.38,b1110
0.205,17.97,b1000,4.14,67.2,b1110,4.145,1476.6,b1110
0.2075,17.21,b1000,4.19,67.17,b1110,4.195,1490.83,b1110
0.21,17.8,b1000,4.24,67.17,b1110,4.245,1503.88,b1110
0.2125,17.3,b1000,4.29,67.17,b1110,4.295,1519.31,b1110
0.215,17.21,b1000,4.34,67.17,b1110,4.345,1533.57,b1110
0.2175,17.55,b1000,4.39,67.17,b1110,4.395,1547.82,b1110
0.22,17.55,b1000,4.44,67.14,b1110,4.445,1563.26,b1110
0.2225,16.37,b1000,4.49,67.14,b1110,4.495,1576.35,b1110
0.225,18.13,b1000,4.54,67.11,b1110,4.545,1589.43,b1110
0.2275,17.97,b1000,4.59,67.14,b1110,4.595,1601.33,b1110
0.23,18.55,b1000,4.64,67.11,b1110,4.645,1615.61,b1110
0.2325,18.05,b1000,4.69,67.11,b1110,4.695,1628.71,b1110
0.235,18.47,b1000,4.74,67.11,b1110,4.745,1644.2,b1110
0.2375,17.8,b1000,4.79,67.11,b1110,4.795,1657.31,b1110
0.24,18.47,b1000,4.84,67.08,b1110,4.845,1671.61,b1110
0.2425,16.79,b1000,4.89,67.08,b1110,4.895,1683.54,b1110
0.245,18.05,b1000,4.94,67.08,b1110,4.945,1695.47,b1110
0.2475,16.63,b1000,4.99,67.05,b1110,4.995,1707.41,b1110
0.25125,16.79,b1000,5.04,67.05,b1110,5.045,1719.35,b1110
0.25375,17.3,b1000,5.09,67.05,b1110,5.095,1731.29,b1110
0.25625,17.21,b1000,5.14,67.05,b1110,5.145,1743.24,b1110
0.25875,15.7,b1000,5.19,67.05,b1110,5.195,1754,b1110
0.26125,15.95,b1000,5.24,67.05,b1110,5.245,1768.35,b1110
0.26375,19.98,b1000,5.29,67.02,b1110,5.295,1780.31,b1110
0.26625,16.21,b1000,5.34,67.02,b1110,5.345,1794.67,b1110
0.26875,18.97,b1000,5.39,67.02,b1110,5.395,1807.84,b1110
0.27125,15.7,b1000,5.44,67.02,b1110,5.445,1822.21,b1110
0.27375,16.88,b1000,5.49,67.02,b1110,5.495,1834.2,b1110
0.27625,17.97,b1000,5.54,67.02,b1110,5.545,1847.38,b1110
0.27875,17.3,b1000,5.59,66.99,b1110,5.595,1860.57,b1110
0.28125,15.87,b1100,5.64,66.99,b1110,5.645,1872.56,b1110
0.28375,18.05,b1100,5.69,66.99,b1110,5.695,1885.76,b1110
0.28625,17.46,b1100,5.74,66.99,b1110,5.745,1897.76,b1110
0.28875,16.71,b1100,5.79,66.99,b1110,5.795,1908.57,b1110
0.29125,17.38,b1100,5.84,66.96,b1110,5.845,1919.39,b1110
0.29375,17.13,b1100,5.89,66.96,b1110,5.895,1930.2,b1110
0.29625,18.05,b1100,5.94,66.96,b1110,5.945,1941.01,b1110
0.29875,17.63,b1100,5.99,66.93,b1110,5.995,1951.84,b1110
0.30125,16.88,b1100,6.04,66.96,b1110,6.045,1962.66,b1110
0.30375,16.88,b1100,6.09,66.96,b1110,6.095,1973.49,b1110
0.30625,16.88,b1100,6.14,66.93,b1110,6.145,1984.32,b1110
0.30875,16.88,b1100,6.19,66.93,b1110,6.195,1995.16,b1110
0.31125,17.88,b1100,6.24,66.93,b1110,6.245,2007.2,b1110
0.31375,16.71,b1100,6.29,66.93,b1110,6.295,2016.84,b1110
0.31625,17.21,b1100,6.34,66.9,b1110,6.345,2027.69,b1110
0.31875,17.04,b1100,6.39,66.9,b1110,6.395,2039.74,b1110
0.32125,16.96,b1100,6.44,66.9,b1110,6.445,2049.38,b1110
0.32375,17.13,b1100,6.49,66.9,b1110,6.495,2060.25,b1110
0.32625,17.13,b1100,6.54,66.9,b1110,6.545,2069.9,b1110
0.32875,17.13,b1100,6.59,66.9,b1110,6.595,2079.55,b1110
0.33125,17.04,b1100,6.64,66.9,b1110,6.645,2091.63,b1110
0.33375,17.13,b1100,6.69,66.87,b1110,6.695,2101.29,b1110
0.33625,16.96,b1100,6.74,66.9,b1110,6.745,2113.37,b1110
0.33875,16.96,b1100,6.79,66.87,b1110,6.795,2124.25,b1110
0.34125,16.96,b1100,6.84,66.87,b1110,6.845,2132.71,b1110
0.34375,17.04,b1100,6.89,66.87,b1110,6.895,2143.59,b1110
0.34625,16.96,b1100,6.94,66.84,b1110,6.945,2152.06,b1110
