axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
11.5212,0.04,b1110,,,,,,
11.5238,-0.0400001,b1110,,,,,,
11.5262,0.12,b1110,,,,,,
11.5288,0.12,b1110,,,,,,
11.5313,0.12,b1110,,,,,,
11.5337,0.12,b1110,,,,,,
11.5363,-0.0400001,b1110,,,,,,
11.5387,-0.0400001,b1110,,,,,,
11.5413,0.04,b1110,,,,,,
11.5437,0.12,b1110,,,,,,
11.5463,0.12,b1110,,,,,,
11.5487,-0.0400001,b1110,,,,,,
11.5513,-0.0400001,b1110,,,,,,
11.5538,0.04,b1110,,,,,,
11.5562,0.12,b1110,,,,,,
11.5588,0.12,b1110,,,,,,
11.5612,0.04,b1110,,,,,,
11.5638,0.04,b1110,,,,,,
11.5662,0.04,b1110,,,,,,
11.5688,0.12,b1110,,,,,,
11.5712,0.04,b1110,,,,,,
11.5737,0.12,b1110,,,,,,
11.5763,0.21,b1110,,,,,,
11.5787,0.04,b1110,,,,,,
11.5813,0.12,b1110,,,,,,
11.5837,0.21,b1110,,,,,,
11.5863,0.12,b1110,,,,,,
11.5887,-0.0400001,b1110,,,,,,
11.5913,0.04,b1110,,,,,,
11.5938,-0.0400001,b1110,,,,,,
11.5962,0.12,b1110,,,,,,
11.5988,0.04,b1110,,,,,,
11.6012,0.12,b1110,,,,,,
11.6038,0.04,b1110,,,,,,
11.6062,0.12,b1110,,,,,,
11.6088,0.12,b1110,,,,,,
11.6112,0.12,b1110,,,,,,
11.6138,-0.0400001,b1110,,,,,,
11.6163,0.04,b1110,,,,,,
11.6187,0.04,b1110,,,,,,
11.6213,0.12,b1110,,,,,,
11.6237,0.04,b1110,,,,,,
11.6263,-0.0400001,b1110,,,,,,
11.6287,-0.0400001,b1110,,,,,,
11.6313,0.04,b1110,,,,,,
11.6337,0.12,b1110,,,,,,
11.6362,0.12,b1110,,,,,,
11.6388,0.04,b1110,,,,,,
11.6412,0.04,b1110,,,,,,
11.6438,0.04,b1110,,,,,,
11.6462,0.12,b1110,,,,,,
11.6488,0.04,b1110,,,,,,
11.6512,0.21,b1110,,,,,,
11.6538,0.12,b1110,,,,,,
11.6563,-0.0400001,b1110,,,,,,
11.6587,-0.0400001,b1110,,,,,,
11.6613,0.12,b1110,,,,,,
11.6637,0.21,b1110,,,,,,
11.6663,0.04,b1110,,,,,,
11.6687,0.12,b1110,,,,,,
11.6713,0.04,b1110,,,,,,
11.6737,0.04,b1110,,,,,,
11.6763,0.12,b1110,,,,,,
11.6788,0.12,b1110,,,,,,
11.6812,0.04,b1110,,,,,,
11.6838,0.04,b1110,,,,,,
11.6862,0.04,b1110,,,,,,
11.6888,0.12,b1110,,,,,,
11.6912,0.12,b1110,,,,,,
11.6938,0.04,b1110,,,,,,
11.6962,0.04,b1110,,,,,,
11.6987,0.04,b1110,,,,,,
11.7013,0.12,b1110,,,,,,
11.7037,0.04,b1110,,,,,,
11.7063,0.21,b1110,,,,,,
11.7087,0.04,b1110,,,,,,
11.7113,0.12,b1110,,,,,,
11.7137,0.12,b1110,,,,,,
11.7163,0.04,b1110,,,,,,
11.7188,0.04,b1110,,,,,,
11.7212,-0.0400001,b1110,,,,,,
11.7238,0.12,b1110,,,,,,
11.7262,0.12,b1110,,,,,,
11.7288,0.12,b1110,,,,,,
11.7312,0.21,b1110,,,,,,
11.7338,0.04,b1110,,,,,,
11.7362,0.12,b1110,,,,,,
11.7388,0.12,b1110,,,,,,
11.7413,0.12,b1110,,,,,,
11.7437,0.12,b1110,,,,,,
11.7463,0.12,b1110,,,,,,
11.7487,0.04,b1110,,,,,,
11.7513,0.21,b1110,,,,,,
11.7537,0.04,b1110,,,,,,
11.7563,0.12,b1110,,,,,,
11.7587,0.04,b1110,,,,,,
11.7612,0.04,b1110,,,,,,
11.7638,0.12,b1110,,,,,,
11.7662,0.12,b1110,,,,,,
11.7688,0.04,b1110,,,,,,
11.7712,0.12,b1110,,,,,,
11.7738,0.12,b1110,,,,,,
11.7762,0.12,b1110,,,,,,
11.7788,0.12,b1110,,,,,,
11.7813,0.12,b1110,,,,,,
11.7837,0.04,b1110,,,,,,
11.7863,0.04,b1110,,,,,,
11.7887,0.04,b1110,,,,,,
11.7913,0.04,b1110,,,,,,
11.7937,0.12,b1110,,,,,,
11.7963,0.04,b1110,,,,,,
11.7987,-0.0400001,b1110,,,,,,
11.8013,0.21,b1110,,,,,,
11.8038,0.04,b1110,,,,,,
11.8062,0.12,b1110,,,,,,
11.8088,0.12,b1110,,,,,,
11.8112,0.12,b1110,,,,,,
11.8138,0.12,b1110,,,,,,
11.8162,0.04,b1110,,,,,,
11.8188,-0.0400001,b1110,,,,,,
11.8212,0.04,b1110,,,,,,
11.8237,0.04,b1110,,,,,,
11.8263,0.04,b1110,,,,,,
11.8287,0.12,b1110,,,,,,
11.8313,0.12,b1110,,,,,,
11.8337,0.12,b1110,,,,,,
11.8363,0.12,b1110,,,,,,
11.8387,0.12,b1110,,,,,,
11.8413,0.12,b1110,,,,,,
11.8438,-0.0400001,b1110,,,,,,
11.8462,-0.0400001,b1110,,,,,,
11.8488,0.12,b1110,,,,,,
11.8512,0.04,b1110,,,,,,
11.8538,0.12,b1110,,,,,,
11.8562,0.04,b1110,,,,,,
11.8588,-0.0400001,b1110,,,,,,
11.8612,0.12,b1110,,,,,,
11.8638,0.04,b1110,,,,,,
11.8663,0.12,b1110,,,,,,
11.8687,0.04,b1110,,,,,,
11.8713,0.12,b1110,,,,,,
11.8737,0.12,b1110,,,,,,
11.8763,0.04,b1110,,,,,,
11.8787,0.12,b1110,,,,,,
11.8813,0.12,b1110,,,,,,
11.8837,0.04,b1110,,,,,,
11.8862,0.12,b1110,,,,,,
11.8888,0.21,b1110,,,,,,
11.8912,0.12,b1110,,,,,,
11.8938,0.12,b1110,,,,,,
11.8962,0.04,b1110,,,,,,
11.8988,0.04,b1110,,,,,,
11.9012,0.12,b1110,,,,,,
11.9038,0.21,b1110,,,,,,
11.9063,0.12,b1110,,,,,,
11.9087,0.12,b1110,,,,,,
11.9113,-0.0400001,b1110,,,,,,
11.9137,-0.0400001,b1110,,,,,,
11.9163,-0.0400001,b1110,,,,,,
11.9187,0.04,b1110,,,,,,
11.9213,-0.0400001,b1110,,,,,,
11.9237,0.04,b1110,,,,,,
11.9263,-0.0400001,b1110,,,,,,
11.9288,0.21,b1110,,,,,,
11.9312,0.21,b1110,,,,,,
11.9338,0.12,b1110,,,,,,
11.9362,0.04,b1110,,,,,,
11.9388,-0.0400001,b1110,,,,,,
11.9412,0.12,b1110,,,,,,
11.9438,0.12,b1110,,,,,,
11.9462,0.12,b1110,,,,,,
11.9487,0.12,b1110,,,,,,
11.9513,0.21,b1110,,,,,,
11.9537,0.04,b1110,,,,,,
11.9563,0.21,b1110,,,,,,
11.9587,0.21,b1110,,,,,,
11.9613,0.12,b1110,,,,,,
11.9637,0.12,b1110,,,,,,
11.9663,-0.0400001,b1110,,,,,,
11.9688,0.12,b1110,,,,,,
11.9712,0.12,b1110,,,,,,
11.9738,0.12,b1110,,,,,,
11.9762,0.21,b1110,,,,,,
11.9788,0.04,b1110,,,,,,
11.9812,0.04,b1110,,,,,,
11.9838,0.12,b1110,,,,,,
11.9862,0.04,b1110,,,,,,
11.9888,0.04,b1110,,,,,,
11.9913,0.12,b1110,,,,,,
11.9937,0.12,b1110,,,,,,
11.9963,0.12,b1110,,,,,,
11.9987,0.12,b1110,,,,,,
12.0013,0.12,b1110,,,,,,
12.0037,0.12,b1110,,,,,,
12.0063,0.12,b1110,,,,,,
12.0087,0.21,b1110,,,,,,
12.0112,0.12,b1110,,,,,,
12.0138,0.12,b1110,,,,,,
12.0162,0.04,b1110,,,,,,
12.0188,0.12,b1110,,,,,,
12.0212,-0.0400001,b1110,,,,,,
12.0238,-0.0400001,b1110,,,,,,
12.0262,-0.0400001,b1110,,,,,,
12.0288,0.04,b1110,,,,,,
12.0313,0.04,b1110,,,,,,
12.0337,0.12,b1110,,,,,,
12.0363,0.04,b1110,,,,,,
12.0387,0.04,b1110,,,,,,
12.0413,0.12,b1110,,,,,,
12.0437,0.12,b1110,,,,,,
12.0463,0.04,b1110,,,,,,
12.0487,0.12,b1110,,,,,,
12.0513,0.12,b1110,,,,,,
12.0538,0.12,b1110,,,,,,
12.0562,0.04,b1110,,,,,,
12.0588,0.12,b1110,,,,,,
12.0612,0.04,b1110,,,,,,
12.0638,0.12,b1110,,,,,,
12.0662,-0.0400001,b1110,,,,,,
12.0688,0.12,b1110,,,,,,
12.0712,0.04,b1110,,,,,,
12.0737,0.12,b1110,,,,,,
12.0763,0.12,b1110,,,,,,
12.0787,0.12,b1110,,,,,,
12.0813,0.04,b1110,,,,,,
12.0837,-0.0400001,b1110,,,,,,
12.0863,0.12,b1110,,,,,,
12.0887,0.21,b1110,,,,,,
12.0913,0.12,b1110,,,,,,
12.0938,0.12,b1110,,,,,,
12.0962,-0.0400001,b1110,,,,,,
12.0988,0.04,b1110,,,,,,
12.1012,-0.0400001,b1110,,,,,,
12.1038,0.04,b1110,,,,,,
12.1062,0.04,b1110,,,,,,
12.1088,0.12,b1110,,,,,,
12.1112,-0.0400001,b1110,,,,,,
12.1138,0.12,b1110,,,,,,
12.1163,0.12,b1110,,,,,,
12.1187,0.12,b1110,,,,,,
12.1213,0.12,b1110,,,,,,
12.1237,0.12,b1110,,,,,,
12.1263,0.12,b1110,,,,,,
12.1287,0.21,b1110,,,,,,
12.1313,-0.0400001,b1110,,,,,,
12.1337,0.12,b1110,,,,,,
12.1362,0.12,b1110,,,,,,
12.1388,-0.0400001,b1110,,,,,,
12.1412,0.12,b1110,,,,,,
12.1438,0.04,b1110,,,,,,
12.1462,0.12,b1110,,,,,,
12.1488,0.12,b1110,,,,,,
12.1512,0.12,b1110,,,,,,
12.1538,0.12,b1110,,,,,,
12.1563,0.12,b1110,,,,,,
12.1587,0.12,b1110,,,,,,
12.1613,0.04,b1110,,,,,,
12.1637,0.04,b1110,,,,,,
12.1663,0.04,b1110,,,,,,
12.1687,0.12,b1110,,,,,,
12.1713,0.04,b1110,,,,,,
12.1737,0.21,b1110,,,,,,
12.1763,0.21,b1110,,,,,,
12.1788,0.04,b1110,,,,,,
12.1812,0.12,b1110,,,,,,
12.1838,0.12,b1110,,,,,,
12.1862,0.04,b1110,,,,,,
12.1888,0.04,b1110,,,,,,
12.1912,-0.0400001,b1110,,,,,,
12.1938,0.04,b1110,,,,,,
12.1962,0.04,b1110,,,,,,
12.1987,0.12,b1110,,,,,,
12.2013,0.04,b1110,,,,,,
12.2037,0.04,b1110,,,,,,
12.2063,0.12,b1110,,,,,,
12.2087,0.12,b1110,,,,,,
12.2113,-0.0400001,b1110,,,,,,
12.2137,-0.0400001,b1110,,,,,,
12.2163,0.04,b1110,,,,,,
12.2188,0.12,b1110,,,,,,
12.2212,0.12,b1110,,,,,,
12.2238,0.04,b1110,,,,,,
12.2262,-0.0400001,b1110,,,,,,
12.2288,-0.0400001,b1110,,,,,,
12.2312,0.12,b1110,,,,,,
12.2338,0.04,b1110,,,,,,
12.2362,0.12,b1110,,,,,,
12.2388,-0.0400001,b1110,,,,,,
12.2413,0.12,b1110,,,,,,
12.2437,0.04,b1110,,,,,,
12.2463,0.04,b1110,,,,,,
12.2487,0.12,b1110,,,,,,
12.2513,0.12,b1110,,,,,,
12.2537,0.12,b1110,,,,,,
12.2563,0.04,b1110,,,,,,
12.2587,0.04,b1110,,,,,,
12.2612,0.12,b1110,,,,,,
12.2638,0.04,b1110,,,,,,
12.2662,0.12,b1110,,,,,,
12.2688,0.12,b1110,,,,,,
12.2712,0.04,b1110,,,,,,
12.2738,0.12,b1110,,,,,,
12.2762,0.04,b1110,,,,,,
12.2788,0.21,b1110,,,,,,
12.2813,0.12,b1110,,,,,,
12.2837,0.12,b1110,,,,,,
12.2863,0.12,b1110,,,,,,
12.2887,0.04,b1110,,,,,,
12.2913,-0.0400001,b1110,,,,,,
12.2937,0.04,b1110,,,,,,
12.2963,0.04,b1110,,,,,,
12.2987,0.04,b1110,,,,,,
12.3013,0.04,b1110,,,,,,
12.3038,0.12,b1110,,,,,,
12.3062,0.12,b1110,,,,,,
12.3088,0.12,b1110,,,,,,
12.3112,0.04,b1110,,,,,,
12.3138,0.04,b1110,,,,,,
12.3162,0.12,b1110,,,,,,
12.3188,0.04,b1110,,,,,,
12.3212,0.12,b1110,,,,,,
12.3237,0.04,b1110,,,,,,
12.3263,0.12,b1110,,,,,,
12.3287,-0.0400001,b1110,,,,,,
12.3313,0.04,b1110,,,,,,
12.3337,0.12,b1110,,,,,,
12.3363,-0.0400001,b1110,,,,,,
12.3387,-0.0400001,b1110,,,,,,
12.3413,0.12,b1110,,,,,,
12.3438,0.12,b1110,,,,,,
12.3462,0.04,b1110,,,,,,
12.3488,0.12,b1110,,,,,,
12.3512,-0.0400001,b1110,,,,,,
12.3538,0.21,b1110,,,,,,
12.3562,0.04,b1110,,,,,,
12.3588,0.21,b1110,,,,,,
12.3612,-0.0400001,b1110,,,,,,
12.3638,0.04,b1110,,,,,,
12.3663,0.12,b1110,,,,,,
12.3687,0.12,b1110,,,,,,
12.3713,0.04,b1110,,,,,,
12.3737,-0.0400001,b1110,,,,,,
12.3763,0.04,b1110,,,,,,
12.3787,0.12,b1110,,,,,,
12.3813,0.21,b1110,,,,,,
12.3837,0.04,b1110,,,,,,
12.3862,0.12,b1110,,,,,,
12.3888,0.29,b1110,,,,,,
12.3912,0.21,b1110,,,,,,
12.3938,0.12,b1110,,,,,,
12.3962,0.04,b1110,,,,,,
12.3988,-0.0400001,b1110,,,,,,
12.4012,0.21,b1110,,,,,,
12.4038,0.12,b1110,,,,,,
12.4063,0.12,b1110,,,,,,
12.4087,0.04,b1110,,,,,,
12.4113,-0.0400001,b1110,,,,,,
12.4137,0.12,b1110,,,,,,
12.4163,0.12,b1110,,,,,,
12.4187,0.12,b1110,,,,,,
12.4213,0.12,b1110,,,,,,
12.4237,0.12,b1110,,,,,,
12.4263,0.04,b1110,,,,,,
12.4288,0.21,b1110,,,,,,
12.4312,0.12,b1110,,,,,,
12.4338,0.04,b1110,,,,,,
12.4362,0.12,b1110,,,,,,
12.4388,0.12,b1110,,,,,,
12.4412,0.12,b1110,,,,,,
12.4438,-0.0400001,b1110,,,,,,
12.4462,-0.0400001,b1110,,,,,,
12.4487,0.12,b1110,,,,,,
12.4513,-0.0400001,b1110,,,,,,
12.4537,0.04,b1110,,,,,,
12.4563,0.04,b1110,,,,,,
12.4587,-0.0400001,b1110,,,,,,
12.4613,0.04,b1110,,,,,,
12.4637,0.04,b1110,,,,,,
12.4663,0.12,b1110,,,,,,
12.4688,0.04,b1110,,,,,,
12.4712,0.12,b1110,,,,,,
12.4738,0.12,b1110,,,,,,
12.4762,0.21,b1110,,,,,,
12.4788,0.12,b1110,,,,,,
12.4812,0.04,b1110,,,,,,
12.4838,0.12,b1110,,,,,,
12.4862,0.12,b1110,,,,,,
12.4888,0.12,b1110,,,,,,
12.4913,0.12,b1110,,,,,,
12.4937,0.04,b1110,,,,,,
12.4963,0.12,b1110,,,,,,
12.4987,0.12,b1110,,,,,,
12.5013,0.12,b1110,,,,,,
12.5037,0.12,b1110,,,,,,
12.5063,0.12,b1110,,,,,,
12.5087,0.12,b1110,,,,,,
12.5112,0.12,b1110,,,,,,
12.5138,0.04,b1110,,,,,,
12.5162,0.04,b1110,,,,,,
12.5188,0.04,b1110,,,,,,
12.5212,0.12,b1110,,,,,,
12.5238,0.04,b1110,,,,,,
12.5262,0.12,b1110,,,,,,
12.5288,0.04,b1110,,,,,,
12.5313,0.12,b1110,,,,,,
12.5337,0.12,b1110,,,,,,
12.5363,0.04,b1110,,,,,,
12.5387,0.21,b1110,,,,,,
12.5413,0.12,b1110,,,,,,
12.5437,0.21,b1110,,,,,,
12.5463,0.04,b1110,,,,,,
12.5487,0.12,b1110,,,,,,
12.5513,0.12,b1110,,,,,,
12.5538,-0.0400001,b1110,,,,,,
12.5562,0.21,b1110,,,,,,
12.5588,0.12,b1110,,,,,,
12.5612,0.04,b1110,,,,,,
12.5638,-0.0400001,b1110,,,,,,
12.5662,0.12,b1110,,,,,,
12.5688,0.12,b1110,,,,,,
12.5712,0.12,b1110,,,,,,
12.5737,0.04,b1110,,,,,,
12.5763,-0.0400001,b1110,,,,,,
12.5787,0.12,b1110,,,,,,
12.5813,0.04,b1110,,,,,,
12.5837,0.04,b1110,,,,,,
12.5863,0.12,b1110,,,,,,
12.5887,0.04,b1110,,,,,,
12.5913,-0.0400001,b1110,,,,,,
12.5938,0.12,b1110,,,,,,
12.5962,0.12,b1110,,,,,,
12.5988,0.04,b1110,,,,,,
12.6012,0.04,b1110,,,,,,
12.6038,0.12,b1110,,,,,,
12.6062,0.12,b1110,,,,,,
12.6088,0.12,b1110,,,,,,
12.6112,0.04,b1110,,,,,,
12.6138,0.12,b1110,,,,,,
12.6163,0.12,b1110,,,,,,
12.6187,0.12,b1110,,,,,,
12.6213,0.12,b1110,,,,,,
12.6237,-0.13,b1110,,,,,,
12.6263,0.12,b1110,,,,,,
12.6287,0.04,b1110,,,,,,
12.6313,0.12,b1110,,,,,,
12.6337,0.04,b1110,,,,,,
12.6362,0.04,b1110,,,,,,
12.6388,0.12,b1110,,,,,,
12.6412,0.04,b1110,,,,,,
12.6438,0.04,b1110,,,,,,
12.6462,0.04,b1110,,,,,,
12.6488,0.04,b1110,,,,,,
12.6512,0.21,b1110,,,,,,
12.6538,0.12,b1110,,,,,,
12.6563,0.12,b1110,,,,,,
12.6587,0.12,b1110,,,,,,
12.6613,0.12,b1110,,,,,,
12.6637,0.12,b1110,,,,,,
12.6663,0.04,b1110,,,,,,
12.6687,-0.0400001,b1110,,,,,,
12.6713,0.04,b1110,,,,,,
12.6737,0.04,b1110,,,,,,
12.6763,0.12,b1110,,,,,,
12.6788,0.21,b1110,,,,,,
12.6812,-0.0400001,b1110,,,,,,
12.6838,0.12,b1110,,,,,,
12.6862,0.12,b1110,,,,,,
12.6888,0.12,b1110,,,,,,
12.6912,0.21,b1110,,,,,,
12.6938,0.04,b1110,,,,,,
12.6962,0.12,b1110,,,,,,
12.6987,0.12,b1110,,,,,,
12.7013,0.12,b1110,,,,,,
12.7037,0.12,b1110,,,,,,
12.7063,0.04,b1110,,,,,,
12.7087,0.12,b1110,,,,,,
12.7113,0.12,b1110,,,,,,
12.7137,0.04,b1110,,,,,,
12.7163,0.12,b1110,,,,,,
12.7188,0.12,b1110,,,,,,
12.7212,0.12,b1110,,,,,,
12.7238,0.12,b1110,,,,,,
12.7262,0.04,b1110,,,,,,
12.7288,0.04,b1110,,,,,,
12.7312,-0.0400001,b1110,,,,,,
12.7338,0.12,b1110,,,,,,
12.7362,0.12,b1110,,,,,,
12.7388,-0.0400001,b1110,,,,,,
12.7413,0.04,b1110,,,,,,
12.7437,0.04,b1110,,,,,,
12.7463,0.12,b1110,,,,,,
12.7487,0.12,b1110,,,,,,
12.7513,0.04,b1110,,,,,,
12.7537,0.12,b1110,,,,,,
12.7563,-0.0400001,b1110,,,,,,
12.7587,0.04,b1110,,,,,,
12.7612,0.04,b1110,,,,,,
12.7638,0.04,b1110,,,,,,
12.7662,0.12,b1110,,,,,,
12.7688,0.12,b1110,,,,,,
12.7712,0.21,b1110,,,,,,
12.7738,-0.0400001,b1110,,,,,,
12.7762,0.12,b1110,,,,,,
12.7788,0.12,b1110,,,,,,
12.7813,0.12,b1110,,,,,,
12.7837,0.12,b1110,,,,,,
12.7863,0.12,b1110,,,,,,
12.7887,0.12,b1110,,,,,,
12.7913,0.21,b1110,,,,,,
12.7937,0.12,b1110,,,,,,
12.7963,0.21,b1110,,,,,,
12.7987,0.21,b1110,,,,,,
12.8013,0.04,b1110,,,,,,
12.8038,0.12,b1110,,,,,,
12.8062,0.04,b1110,,,,,,
12.8088,0.12,b1110,,,,,,
12.8112,-0.0400001,b1110,,,,,,
12.8138,-0.0400001,b1110,,,,,,
12.8162,0.04,b1110,,,,,,
12.8188,0.21,b1110,,,,,,
12.8212,-0.0400001,b1110,,,,,,
12.8237,0.12,b1110,,,,,,
12.8263,0.12,b1110,,,,,,
12.8287,0.12,b1110,,,,,,
12.8313,-0.0400001,b1110,,,,,,
12.8337,0.21,b1110,,,,,,
12.8363,0.12,b1110,,,,,,
12.8387,0.04,b1110,,,,,,
12.8413,0.12,b1110,,,,,,
12.8438,0.04,b1110,,,,,,
12.8462,0.04,b1110,,,,,,
12.8488,0.04,b1110,,,,,,
12.8512,-0.0400001,b1110,,,,,,
12.8538,-0.0400001,b1110,,,,,,
12.8562,0.12,b1110,,,,,,
12.8588,0.12,b1110,,,,,,
12.8612,0.12,b1110,,,,,,
12.8638,0.12,b1110,,,,,,
12.8663,0.12,b1110,,,,,,
12.8687,0.12,b1110,,,,,,
12.8713,0.12,b1110,,,,,,
12.8737,0.21,b1110,,,,,,
12.8763,-0.0400001,b1110,,,,,,
12.8787,0.21,b1110,,,,,,
12.8813,-0.0400001,b1110,,,,,,
12.8837,0.12,b1110,,,,,,
12.8862,0.12,b1110,,,,,,
12.8888,0.04,b1110,,,,,,
12.8912,0.12,b1110,,,,,,
12.8938,0.12,b1110,,,,,,
12.8962,0.12,b1110,,,,,,
12.8988,0.21,b1110,,,,,,
12.9012,0.04,b1110,,,,,,
12.9038,0.21,b1110,,,,,,
12.9063,0.04,b1110,,,,,,
12.9087,-0.0400001,b1110,,,,,,
12.9113,0.04,b1110,,,,,,
12.9137,0.04,b1110,,,,,,
12.9163,0.12,b1110,,,,,,
12.9187,-0.0400001,b1110,,,,,,
12.9213,0.12,b1110,,,,,,
12.9237,0.21,b1110,,,,,,
12.9263,0.04,b1110,,,,,,
12.9288,0.12,b1110,,,,,,
12.9312,0.04,b1110,,,,,,
12.9338,0.12,b1110,,,,,,
12.9362,0.12,b1110,,,,,,
12.9388,0.12,b1110,,,,,,
12.9412,0.21,b1110,,,,,,
12.9438,-0.0400001,b1110,,,,,,
12.9462,0.12,b1110,,,,,,
12.9487,0.12,b1110,,,,,,
12.9513,-0.0400001,b1110,,,,,,
12.9537,0.04,b1110,,,,,,
12.9563,0.12,b1110,,,,,,
12.9587,-0.0400001,b1110,,,,,,
12.9613,0.21,b1110,,,,,,
12.9637,0.12,b1110,,,,,,
12.9663,0.04,b1110,,,,,,
12.9688,-0.0400001,b1110,,,,,,
12.9712,0.12,b1110,,,,,,
12.9738,0.04,b1110,,,,,,
12.9762,-0.0400001,b1110,,,,,,
12.9788,0.04,b1110,,,,,,
12.9812,0.12,b1110,,,,,,
12.9838,0.04,b1110,,,,,,
12.9862,0.04,b1110,,,,,,
12.9888,0.04,b1110,,,,,,
12.9913,0.12,b1110,,,,,,
12.9937,0.12,b1110,,,,,,
12.9963,0.12,b1110,,,,,,
12.9987,0.12,b1110,,,,,,
13.0013,0.04,b1110,,,,,,
13.0037,0.12,b1110,,,,,,
13.0063,0.12,b1110,,,,,,
13.0087,0.12,b1110,,,,,,
13.0112,0.12,b1110,,,,,,
13.0138,0.12,b1110,,,,,,
13.0162,0.04,b1110,,,,,,
13.0188,0.21,b1110,,,,,,
13.0212,0.12,b1110,,,,,,
13.0238,0.12,b1110,,,,,,
13.0262,0.12,b1110,,,,,,
13.0288,0.12,b1110,,,,,,
13.0313,0.04,b1110,,,,,,
13.0337,0.12,b1110,,,,,,
13.0363,0.12,b1110,,,,,,
13.0387,0.12,b1110,,,,,,
13.0413,0.21,b1110,,,,,,
13.0437,0.04,b1110,,,,,,
13.0463,0.04,b1110,,,,,,
13.0487,-0.0400001,b1110,,,,,,
13.0513,0.12,b1110,,,,,,
13.0538,0.04,b1110,,,,,,
13.0562,0.12,b1110,,,,,,
13.0588,0.29,b1110,,,,,,
13.0612,0.04,b1110,,,,,,
13.0638,0.21,b1110,,,,,,
13.0662,0.04,b1110,,,,,,
13.0688,0.12,b1110,,,,,,
13.0712,0.21,b1110,,,,,,
13.0737,-0.0400001,b1110,,,,,,
13.0763,0.04,b1110,,,,,,
13.0787,0.04,b1110,,,,,,
13.0813,0.12,b1110,,,,,,
13.0837,0.12,b1110,,,,,,
13.0863,0.12,b1110,,,,,,
13.0887,0.12,b1110,,,,,,
13.0913,0.04,b1110,,,,,,
13.0938,0.21,b1110,,,,,,
13.0962,0.21,b1110,,,,,,
13.0988,0.04,b1110,,,,,,
13.1012,0.12,b1110,,,,,,
13.1038,0.04,b1110,,,,,,
13.1062,0.12,b1110,,,,,,
13.1088,0.12,b1110,,,,,,
13.1112,0.12,b1110,,,,,,
13.1138,0.12,b1110,,,,,,
13.1163,0.12,b1110,,,,,,
13.1187,0.12,b1110,,,,,,
13.1213,-0.0400001,b1110,,,,,,
13.1237,0.04,b1110,,,,,,
13.1263,0.12,b1110,,,,,,
13.1287,0.04,b1110,,,,,,
13.1313,0.04,b1110,,,,,,
13.1337,0.04,b1110,,,,,,
13.1362,0.04,b1110,,,,,,
13.1388,0.12,b1110,,,,,,
13.1412,0.12,b1110,,,,,,
13.1438,0.12,b1110,,,,,,
13.1462,0.12,b1110,,,,,,
13.1488,0.12,b1110,,,,,,
13.1512,0.04,b1110,,,,,,
13.1538,0.04,b1110,,,,,,
13.1563,0.04,b1110,,,,,,
13.1587,0.12,b1110,,,,,,
13.1613,0.04,b1110,,,,,,
13.1637,0.12,b1110,,,,,,
13.1663,0.04,b1110,,,,,,
13.1687,-0.0400001,b1110,,,,,,
13.1713,0.12,b1110,,,,,,
13.1737,-0.0400001,b1110,,,,,,
13.1763,-0.0400001,b1110,,,,,,
13.1788,0.21,b1110,,,,,,
13.1812,-0.0400001,b1110,,,,,,
13.1838,0.04,b1110,,,,,,
13.1862,0.04,b1110,,,,,,
13.1888,0.12,b1110,,,,,,
13.1912,0.04,b1110,,,,,,
13.1938,-0.0400001,b1110,,,,,,
13.1962,0.04,b1110,,,,,,
13.1987,0.04,b1110,,,,,,
13.2013,0.12,b1110,,,,,,
13.2037,0.12,b1110,,,,,,
13.2063,0.04,b1110,,,,,,
13.2087,0.12,b1110,,,,,,
13.2113,0.12,b1110,,,,,,
13.2137,0.04,b1110,,,,,,
13.2163,-0.0400001,b1110,,,,,,
13.2188,0.04,b1110,,,,,,
13.2212,0.12,b1110,,,,,,
13.2238,0.12,b1110,,,,,,
13.2262,0.12,b1110,,,,,,
13.2288,0.04,b1110,,,,,,
13.2312,0.04,b1110,,,,,,
13.2338,0.12,b1110,,,,,,
13.2362,0.04,b1110,,,,,,
13.2388,0.12,b1110,,,,,,
13.2413,0.12,b1110,,,,,,
13.2437,0.04,b1110,,,,,,
13.2463,0.04,b1110,,,,,,
13.2487,0.04,b1110,,,,,,
13.2513,0.12,b1110,,,,,,
13.2537,0.04,b1110,,,,,,
13.2563,0.04,b1110,,,,,,
13.2587,0.04,b1110,,,,,,
13.2612,0.21,b1110,,,,,,
13.2638,-0.0400001,b1110,,,,,,
13.2662,0.21,b1110,,,,,,
13.2688,0.04,b1110,,,,,,
13.2712,0.04,b1110,,,,,,
13.2738,0.12,b1110,,,,,,
13.2762,0.04,b1110,,,,,,
13.2788,0.12,b1110,,,,,,
13.2813,0.12,b1110,,,,,,
13.2837,0.12,b1110,,,,,,
13.2863,0.12,b1110,,,,,,
13.2887,0.04,b1110,,,,,,
13.2913,0.12,b1110,,,,,,
13.2937,-0.0400001,b1110,,,,,,
13.2963,0.12,b1110,,,,,,
13.2987,0.12,b1110,,,,,,
13.3013,0.12,b1110,,,,,,
13.3038,0.21,b1110,,,,,,
13.3062,0.21,b1110,,,,,,
13.3088,0.12,b1110,,,,,,
13.3112,0.12,b1110,,,,,,
13.3138,0.04,b1110,,,,,,
13.3162,0.12,b1110,,,,,,
13.3188,0.12,b1110,,,,,,
